snapshot_date,referrer,count,uniques
"2026-08-19","Bing",8,1
"2026-08-19","DuckDuckGo",3,1
"2026-08-19","Google",85,31
"2026-08-19","chatgpt.com",2,1
"2026-08-19","databricks.com",2,1
"2026-08-19","entrada.ai",1,1
"2026-08-19","github.com",138,31
"2026-08-19","lakebase-cookbook.com",1,1
"2026-08-19","qwant.com",1,1
"2026-08-19","teams.public.onecdn.static.microsoft",16,6
"2026-08-20","Bing",8,1
"2026-08-20","DuckDuckGo",3,1
"2026-08-20","Google",59,27
"2026-08-20","chatgpt.com",2,1
"2026-08-20","databricks.com",2,1
"2026-08-20","entrada.ai",1,1
"2026-08-20","github.com",129,28
"2026-08-20","lakebase-cookbook.com",1,1
"2026-08-20","teams.public.onecdn.static.microsoft",15,5
"2026-08-20","youtube.com",1,1
"2026-08-21","DuckDuckGo",3,1
"2026-08-21","Google",80,28
"2026-08-21","chatgpt.com",3,2
"2026-08-21","databricks.com",2,1
"2026-08-21","entrada.ai",1,1
"2026-08-21","github.com",133,34
"2026-08-21","lakebase-cookbook.com",3,2
"2026-08-21","teams.public.onecdn.static.microsoft",14,5
"2026-08-21","youtube.com",1,1
"2026-08-22","DuckDuckGo",3,1
"2026-08-22","Google",82,29
"2026-08-22","chatgpt.com",3,2
"2026-08-22","com.slack",1,1
"2026-08-22","databricks.com",2,1
"2026-08-22","entrada.ai",1,1
"2026-08-22","github.com",137,32
"2026-08-22","lakebase-cookbook.com",4,2
"2026-08-22","teams.public.onecdn.static.microsoft",13,4
"2026-08-22","youtube.com",1,1
"2026-08-23","DuckDuckGo",3,1
"2026-08-23","Google",83,29
"2026-08-23","chatgpt.com",3,2
"2026-08-23","com.slack",1,1
"2026-08-23","databricks.com",2,1
"2026-08-23","entrada.ai",1,1
"2026-08-23","github.com",102,32
"2026-08-23","lakebase-cookbook.com",4,2
"2026-08-23","teams.public.onecdn.static.microsoft",15,4
"2026-08-23","youtube.com",1,1
"2026-08-24","DuckDuckGo",3,1
"2026-08-24","Google",79,28
"2026-08-24","chatgpt.com",3,2
"2026-08-24","com.slack",1,1
"2026-08-24","databricks.com",2,1
"2026-08-24","entrada.ai",1,1
"2026-08-24","github.com",98,31
"2026-08-24","lakebase-cookbook.com",4,2
"2026-08-24","teams.public.onecdn.static.microsoft",15,4
"2026-08-24","youtube.com",1,1
"2026-08-25","Bing",1,1
"2026-08-25","DuckDuckGo",3,1
"2026-08-25","Google",70,27
"2026-08-25","chatgpt.com",1,1
"2026-08-25","com.slack",1,1
"2026-08-25","databricks.com",2,1
"2026-08-25","entrada.ai",1,1
"2026-08-25","github.com",89,30
"2026-08-25","lakebase-cookbook.com",4,2
"2026-08-25","teams.public.onecdn.static.microsoft",5,3
"2026-08-26","Bing",1,1
"2026-08-26","DuckDuckGo",3,1
"2026-08-26","Google",80,35
"2026-08-26","chatgpt.com",1,1
"2026-08-26","com.slack",1,1
"2026-08-26","databricks.com",2,1
"2026-08-26","entrada.ai",1,1
"2026-08-26","github.com",87,30
"2026-08-26","lakebase-cookbook.com",4,2
"2026-08-26","teams.public.onecdn.static.microsoft",5,3
"2026-08-27","Bing",1,1
"2026-08-27","Google",82,33
"2026-08-27","chatgpt.com",1,1
"2026-08-27","com.slack",1,1
"2026-08-27","databricks.com",1,1
"2026-08-27","github.com",86,28
"2026-08-27","lakebase-cookbook.com",4,2
"2026-08-27","teams.public.onecdn.static.microsoft",5,3
"2026-08-27","youtube.com",1,1
"2026-08-28","Bing",1,1
"2026-08-28","Google",80,30
"2026-08-28","chatgpt.com",1,1
"2026-08-28","com.slack",1,1
"2026-08-28","databricks.com",1,1
"2026-08-28","github.com",99,30
"2026-08-28","lakebase-cookbook.com",4,2
"2026-08-28","teams.public.onecdn.static.microsoft",5,3
"2026-08-28","youtube.com",1,1
"2026-08-29","Bing",1,1
"2026-08-29","Google",80,30
"2026-08-29","chatgpt.com",1,1
"2026-08-29","com.slack",1,1
"2026-08-29","databricks.com",1,1
"2026-08-29","github.com",99,30
"2026-08-29","lakebase-cookbook.com",4,2
"2026-08-29","teams.public.onecdn.static.microsoft",5,3
"2026-08-29","youtube.com",1,1
"2026-08-30","Bing",9,2
"2026-08-30","Google",79,29
"2026-08-30","chatgpt.com",1,1
"2026-08-30","com.slack",3,3
"2026-08-30","databricks.com",1,1
"2026-08-30","github.com",97,29
"2026-08-30","lakebase-cookbook.com",3,1
"2026-08-30","teams.public.onecdn.static.microsoft",8,6
"2026-08-30","youtube.com",1,1
"2026-08-31","Bing",9,2
"2026-08-31","Google",69,28
"2026-08-31","chatgpt.com",1,1
"2026-08-31","com.slack",3,3
"2026-08-31","databricks.com",1,1
"2026-08-31","github.com",92,29
"2026-08-31","lakebase-cookbook.com",4,2
"2026-08-31","teams.public.onecdn.static.microsoft",8,6
"2026-08-31","youtube.com",1,1
"2026-09-01","Bing",9,2
"2026-09-01","Google",70,29
"2026-09-01","chatgpt.com",1,1
"2026-09-01","com.slack",3,3
"2026-09-01","github.com",101,34
"2026-09-01","lakebase-cookbook.com",4,2
"2026-09-01","teams.public.onecdn.static.microsoft",14,7
"2026-09-01","youtube.com",1,1
"2026-09-02","Bing",9,2
"2026-09-02","Google",72,30
"2026-09-02","chatgpt.com",1,1
"2026-09-02","com.slack",3,3
"2026-09-02","community.databricks.com",1,1
"2026-09-02","github.com",121,36
"2026-09-02","lakebase-cookbook.com",4,2
"2026-09-02","teams.public.onecdn.static.microsoft",21,9
"2026-09-02","youtube.com",1,1
"2026-09-03","Bing",9,2
"2026-09-03","Google",71,28
"2026-09-03","chatgpt.com",1,1
"2026-09-03","com.slack",3,3
"2026-09-03","community.databricks.com",1,1
"2026-09-03","github.com",115,38
"2026-09-03","lakebase-cookbook.com",4,2
"2026-09-03","teams.public.onecdn.static.microsoft",22,10
"2026-09-04","Bing",9,2
"2026-09-04","Google",47,28
"2026-09-04","com.slack",3,3
"2026-09-04","community.databricks.com",1,1
"2026-09-04","github.com",89,32
"2026-09-04","lakebase-cookbook.com",2,2
"2026-09-04","teams.public.onecdn.static.microsoft",21,9
"2026-09-05","Bing",9,2
"2026-09-05","Google",47,30
"2026-09-05","chatgpt.com",4,1
"2026-09-05","com.slack",2,2
"2026-09-05","community.databricks.com",1,1
"2026-09-05","github.com",80,28
"2026-09-05","lakebase-cookbook.com",1,1
"2026-09-05","teams.public.onecdn.static.microsoft",21,9
